t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
762471076354900,762471158803300,762471158982100,762471158982100,0,0
762471173702800,762471256386600,762471256560100,762471256560100,0,0
762471270899100,762471356003900,762471356185700,762471356185700,0,0
762471382352300,762471470327900,762471470504000,762471470504000,0,0
762471486793100,762471573856500,762471574036900,762471574036900,0,0
762471583827500,762471669390700,762471669573400,762471669573400,0,0
762471694596400,762471777783300,762471777964100,762471777964100,0,0
762471791601800,762471876572700,762471876782400,762471876782400,0,0
762471903663900,762471989252900,762471989440500,762471989440500,0,0
762472006845500,762472092502500,762472092684300,762472092684300,0,0
762472104338600,762472190721000,762472191017800,762472191017800,0,0
762472201760600,762472287564500,762472287742200,762472287742200,0,0
762472312412800,762472395901000,762472396081000,762472396081000,0,0
762472423670000,762472509815500,762472510043800,762472510043800,0,0
762472534688900,762472620347000,762472620526300,762472620526300,0,0
762472645674000,762472730342700,762472730536000,762472730536000,0,0
762472756886700,762472848184100,762472848368100,762472848368100,0,0
762472861960100,762472951983100,762472952165700,762472952165700,0,0
762472972790200,762473073398100,762473073607400,762473073607400,0,0
